dataset,size,m0.00,m0.05,m0.10,m0.15,m0.20,m0.25,m0.30
imdb,1%,86.6,87.9,89.4,90.4,91.3,91.3,90.2
imdb,5%,86.8,87.6,88.9,90.4,91.6,91.5,90.5
imdb,10%,87.9,88.5,89.5,90.5,91.7,91.6,90.6
imdb,25%,88.9,88.5,89.2,90.1,91.7,91.6,90.7
imdb,50%,89.1,88.6,89.8,90.6,91.8,91.7,90.5
imdb,100%,89.3,89.0,89.6,90.5,91.8,91.7,90.7
sst,1%,75.5,77.2,80.6,80.9,82.8,83.7,84.0
sst,5%,75.2,77.3,80.4,81.2,82.8,83.5,84.7
sst,10%,75.4,77.7,80.4,81.0,82.5,83.3,84.7
sst,25%,76.4,76.9,80.4,81.1,82.6,83.6,84.8
sst,50%,76.4,77.3,80.4,81.0,82.5,83.5,84.8
sst,100%,77.5,77.5,80.3,80.9,82.7,83.6,84.9
subj,1%,71.5,73.5,76.3,76.1,77.6,77.2,77.2
subj,5%,76.0,77.6,78.8,79.4,80.5,80.4,79.0
subj,10%,74.4,77.0,78.1,79.0,80.9,80.8,78.9
subj,25%,74.0,75.4,77.3,77.6,80.6,81.9,79.4
subj,50%,72.0,73.6,75.7,78.3,81.3,81.2,79.2
subj,100%,69.9,72.3,74.8,77.6,80.7,81.1,78.8
