size,method,imdb,imdb_std,sst,sst_std,subj,subj_std,emotion_f1,emotion_f1_std,agnews,agnews_std
1%,Gold,91.5,0.7,83.5,2.1,92.5,1.1,58.4,0.6,89.0,0.5
1%,HardPrompt,73.6,9.9,69.6,9.8,55.1,5.0,26.6,0.5,58.8,1.4
1%,HardPrompt+CoT,82.9,1.3,80.7,1.7,69.8,1.9,33.5,0.7,71.8,0.5
1%,SoftPrompt,75.2,4.7,69.1,6.1,71.2,8.0,38.3,2.6,57.7,3.4
1%,SoftPrompt+CoT,86.6,2.3,75.5,3.2,71.5,7.0,38.2,2.1,63.2,5.0
5%,Gold,93.1,0.3,87.3,0.9,94.7,0.5,66.2,0.3,90.7,0.1
5%,HardPrompt,78.9,8.8,69.4,11.8,56.0,5.5,26.9,0.4,57.1,0.8
5%,HardPrompt+CoT,82.8,0.7,81.3,0.5,70.2,1.1,33.9,0.5,72.0,0.1
5%,SoftPrompt,76.1,4.7,70.3,4.1,73.2,6.6,38.7,1.9,62.2,4.0
5%,SoftPrompt+CoT,86.8,1.9,75.3,2.6,76.0,5.0,35.8,2.0,63.3,3.4
10%,Gold,93.4,0.2,88.0,0.5,95.2,0.3,69.4,0.2,91.0,0.1
10%,HardPrompt,79.9,7.5,72.6,12.8,58.0,3.0,26.5,0.2,56.7,0.7
10%,HardPrompt+CoT,82.9,0.7,81.4,0.3,70.2,0.9,34.1,0.5,72.2,0.3
10%,SoftPrompt,76.2,3.9,71.1,4.1,72.5,5.1,39.1,2.6,62.2,2.6
10%,SoftPrompt+CoT,87.9,1.5,75.5,2.9,74.4,5.1,36.8,2.8,66.7,2.1
25%,Gold,93.7,0.3,88.2,0.7,95.7,0.3,71.7,0.2,91.5,0.1
25%,HardPrompt,79.9,5.7,74.1,11.6,59.0,4.3,26.8,0.2,54.7,1.1
25%,HardPrompt+CoT,82.6,0.4,81.5,0.1,70.7,0.9,34.0,0.5,72.1,0.1
25%,SoftPrompt,77.2,2.9,72.4,3.9,70.1,6.1,42.1,1.2,61.8,2.5
25%,SoftPrompt+CoT,88.9,0.7,76.5,2.7,74.0,5.2,39.1,0.9,66.1,1.2
50%,Gold,93.8,0.2,87.5,1.1,95.9,0.3,73.4,0.2,91.6,0.2
50%,HardPrompt,80.4,7.7,74.0,11.9,59.4,3.7,26.3,0.9,57.2,0.2
50%,HardPrompt+CoT,82.6,0.5,81.5,0.1,70.1,0.5,34.0,0.7,72.1,0.1
50%,SoftPrompt,77.1,3.0,73.8,3.1,69.7,4.3,41.3,1.0,61.0,2.2
50%,SoftPrompt+CoT,89.1,0.7,76.7,2.0,72.0,6.3,37.9,0.7,64.0,3.9
100%,Gold,94.1,0.3,87.3,1.0,96.2,0.3,74.9,0.3,91.7,0.1
100%,HardPrompt,81.8,6.0,77.4,8.9,59.5,1.7,26.7,0.1,57.3,0.4
100%,HardPrompt+CoT,82.5,1.0,81.5,0.0,69.4,0.6,34.0,0.2,72.0,0.1
100%,SoftPrompt,76.6,1.9,75.2,2.5,67.9,4.2,41.2,0.4,62.4,0.3
100%,SoftPrompt+CoT,89.3,0.3,77.5,1.7,69.9,5.9,40.2,4.6,67.1,0.3
