method,dataset,inter_class,intra_class,average
Gold,imdb,0.3555,0.3950,0.3753
HardPrompt,imdb,0.4905,0.8619,0.6761
HardPrompt+CoT,imdb,0.5032,0.8315,0.6673
SoftPrompt,imdb,0.6766,0.8375,0.6768
SoftPrompt+CoT,imdb,0.6282,0.7488,0.6282
Gold,sst,0.2531,0.2705,0.2534
HardPrompt,sst,0.2897,0.7220,0.5058
HardPrompt+CoT,sst,0.3494,0.7225,0.5359
SoftPrompt,sst,0.4765,0.7201,0.4767
SoftPrompt+CoT,sst,0.4841,0.6739,0.4843
Gold,subj,0.1991,0.2520,0.2256
HardPrompt,subj,0.0096,0.6827,0.3461
HardPrompt+CoT,subj,0.0391,0.3481,0.1936
SoftPrompt,subj,0.2000,0.4718,0.2003
SoftPrompt+CoT,subj,0.1851,0.2811,0.1852
Gold,emotion,0.2665,0.2874,0.2715
HardPrompt,emotion,0.2931,0.6963,0.3603
HardPrompt+CoT,emotion,0.2724,0.6565,0.3364
SoftPrompt,emotion,0.3248,0.5457,0.3612
SoftPrompt+CoT,emotion,0.4297,0.4998,0.4414
Gold,agnews,0.1587,0.2293,0.1764
HardPrompt,agnews,0.1569,0.6273,0.2745
HardPrompt+CoT,agnews,0.1455,0.5514,0.2469
SoftPrompt,agnews,0.2223,0.4955,0.2906
SoftPrompt+CoT,agnews,0.2202,0.4192,0.2699
